actors,worlwide_gross_income
 Tom Hardy," 3,395,023,609.00 "
 Vincent D'Onofrio," 3,394,841,561.00 "
 Bill Murray," 3,393,721,521.00 "
 Maya Rudolph," 3,392,033,424.00 "
 Tony Shalhoub," 3,392,006,197.00 "
 Ray Stevenson," 3,388,045,494.00 "
 Sebastian Stan," 3,371,764,109.00 "
 Ashley Greene," 3,368,538,955.00 "
 Patrick Stewart," 3,361,994,165.00 "
 Sally Field," 3,359,318,748.00 "
 Richard Jenkins," 3,359,173,768.00 "
 Terence Stamp," 3,324,269,420.00 "
Sylvester Stallone," 3,321,436,812.00 "
 Nicole Kidman," 3,319,140,363.00 "
 Mackenzie Crook," 3,316,916,045.00 "
 Zoë Kravitz," 3,309,468,901.00 "
 Octavia Spencer," 3,304,985,166.00 "
 Michael Clarke Duncan," 3,303,678,547.00 "
 Tommy Lee Jones," 3,301,100,753.00 "
 Jamie Foxx," 3,292,226,533.00 "
 Mahershala Ali," 3,287,078,710.00 "
 Jack Davenport," 3,286,145,579.00 "
 Bob Peterson," 3,283,001,127.00 "
 Andy Richter," 3,278,681,012.00 "
 Amy Sedaris," 3,276,030,834.00 "
 Bryan Cranston," 3,269,014,316.00 "
 Michelle Monaghan," 3,268,648,573.00 "
 Robert Downey Jr.," 3,266,694,597.00 "
Denzel Washington," 3,258,580,247.00 "
 Stephen Lang," 3,253,125,583.00 "
Mel Gibson," 3,250,044,513.00 "
 Cliff Curtis," 3,249,826,109.00 "
 Ken Stott," 3,244,726,665.00 "
 Liam Neeson," 3,242,706,629.00 "
 Ty Simpkins," 3,228,959,355.00 "
 Frances McDormand," 3,222,626,069.00 "
 Ben Whishaw," 3,219,976,050.00 "
 Peter Dinklage," 3,209,637,548.00 "
 Sterling K. Brown," 3,208,571,195.00 "
 Christopher Mintz-Plasse," 3,208,412,637.00 "
 Monica Bellucci," 3,207,966,067.00 "
 David Warner," 3,207,603,738.00 "
 Bobby Moynihan," 3,181,910,179.00 "
 Mads Mikkelsen," 3,181,208,550.00 "
Shia LaBeouf," 3,174,379,426.00 "
 Sam Claflin," 3,172,056,879.00 "
 Karl Urban," 3,171,477,380.00 "
 Tom Wilkinson," 3,169,540,415.00 "
 Joseph Mazzello," 3,159,943,563.00 "
 Rachel McAdams," 3,158,968,648.00 "
 Julie White," 3,156,747,684.00 "
 Hannibal Buress," 3,144,790,705.00 "
 Michael Fassbender," 3,141,356,821.00 "
 Sacha Baron Cohen," 3,136,668,150.00 "
 Martin Klebba," 3,135,211,315.00 "
Mark Hamill," 3,132,921,711.00 "
 Jackie Chan," 3,123,764,995.00 "
 Jonathan Hyde," 3,123,603,676.00 "
 Warwick Davis," 3,123,253,795.00 "
 James Hong," 3,122,133,182.00 "
 Tilda Swinton," 3,107,688,520.00 "
Ian McKellen," 3,104,712,182.00 "
 Idina Menzel," 3,102,988,558.00 "
Robert De Niro," 3,101,325,366.00 "
 Joel David Moore," 3,095,134,121.00 "
 Jennifer Lawrence," 3,093,257,791.00 "
 Helen Mirren," 3,080,210,118.00 "
 James Marsden," 3,073,863,792.00 "
